Date : 2023-09-10 12:22:00
Directory : /Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/backend
Total : 113 files,  642 codes, 41 comments, -511 blanks, all 172 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          2 |      3,440 |          0 |          2 |      3,442 |
| JavaScript         |         17 |        536 |         12 |         17 |        565 |
| TypeScript         |         22 |         41 |        -10 |         13 |         44 |
| Properties         |          1 |         12 |          0 |          0 |         12 |
| JSON with Comments |          1 |         11 |         90 |          9 |        110 |
| CSS                |          2 |        -24 |         -2 |         -4 |        -30 |
| TypeScript JSX     |         68 |     -3,374 |        -49 |       -548 |     -3,971 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                           |        113 |        642 |         41 |       -511 |        172 |
| . (Files)                                                                                                                                                                   |          5 |      3,498 |         93 |         28 |      3,619 |
| ..                                                                                                                                                                          |         80 |     -3,646 |        -70 |       -607 |     -4,323 |
| ../frontend                                                                                                                                                                 |         80 |     -3,646 |        -70 |       -607 |     -4,323 |
| ../frontend/conjuring_escaperoom_dashboard                                                                                                                                  |         80 |     -3,646 |        -70 |       -607 |     -4,323 |
| ../frontend/conjuring_escaperoom_dashboard/src                                                                                                                              |         80 |     -3,646 |        -70 |       -607 |     -4,323 |
| ../frontend/conjuring_escaperoom_dashboard/src/api                                                                                                                          |          2 |        -34 |          0 |         -2 |        -36 |
| ../frontend/conjuring_escaperoom_dashboard/src/components                                                                                                                   |         59 |     -3,175 |        -46 |       -507 |     -3,728 |
| ../frontend/conjuring_escaperoom_dashboard/src/components (Files)                                                                                                           |          6 |       -174 |        -35 |        -40 |       -249 |
| ../frontend/conjuring_escaperoom_dashboard/src/components/Button                                                                                                            |          2 |        -56 |          0 |        -12 |        -68 |
| ../frontend/conjuring_escaperoom_dashboard/src/components/Card                                                                                                              |          6 |       -262 |         -4 |        -51 |       -317 |
| ../frontend/conjuring_escaperoom_dashboard/src/components/Cross                                                                                                             |         19 |     -1,140 |         -3 |       -189 |     -1,332 |
| ../frontend/conjuring_escaperoom_dashboard/src/components/Cross (Files)                                                                                                     |         12 |       -778 |         -3 |       -128 |       -909 |
| ../frontend/conjuring_escaperoom_dashboard/src/components/Cross/sections                                                                                                    |          2 |       -163 |          0 |        -28 |       -191 |
| ../frontend/conjuring_escaperoom_dashboard/src/components/Cross/toolbars                                                                                                    |          5 |       -199 |          0 |        -33 |       -232 |
| ../frontend/conjuring_escaperoom_dashboard/src/components/Form                                                                                                              |          7 |       -484 |          0 |        -64 |       -548 |
| ../frontend/conjuring_escaperoom_dashboard/src/components/Mediaplayer                                                                                                       |          4 |       -519 |         -1 |        -57 |       -577 |
| ../frontend/conjuring_escaperoom_dashboard/src/components/PortableFinder                                                                                                    |          9 |       -409 |          0 |        -61 |       -470 |
| ../frontend/conjuring_escaperoom_dashboard/src/components/PortableFinder (Files)                                                                                            |          1 |        -25 |          0 |         -6 |        -31 |
