"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "JSON", "JSON with Comments", "Markdown", "JavaScript", "XML", "Properties", "comment", "blank", "total"
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/backend/.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 12
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/backend/config/cors.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/backend/config/database.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/backend/controllers/crossController.ts", "TypeScript", 0, 106, 0, 0, 0, 0, 0, 0, 0, 2, 12, 120
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/backend/controllers/goblinFinderController.ts", "TypeScript", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 11, 76
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/backend/dist/config/cors.js", "JavaScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/backend/dist/config/database.js", "JavaScript", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/backend/dist/controllers/cross/crossController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 1, 61
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/backend/dist/controllers/crossController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 125, 0, 0, 2, 1, 128
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/backend/dist/controllers/dirFilesSender.js", "JavaScript", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/backend/dist/controllers/fileManager.js", "JavaScript", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 1, 34
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/backend/dist/controllers/goblinFinder.js", "JavaScript", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 1, 62
