"filename", "language", "TypeScript JSX", "TypeScript", "JavaScript", "comment", "blank", "total"
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/backend/dist/controllers/crossController copy.js", "JavaScript", 0, 0, 125, 2, 1, 128
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/backend/dist/index.js", "JavaScript", 0, 0, 4, 0, 0, 4
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/backend/dist/models/tagModel.js", "JavaScript", 0, 0, 13, 0, 1, 14
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/backend/dist/models/tagReaderModel.js", "JavaScript", 0, 0, 11, 0, 1, 12
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/backend/dist/routes/gameRouter copy.js", "JavaScript", 0, 0, 21, 0, 1, 22
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/backend/dist/routes/readerRouter.js", "JavaScript", 0, 0, 21, 0, 1, 22
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/backend/dist/routes/tagRouter copy.js", "JavaScript", 0, 0, 21, 0, 1, 22
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/backend/dist/routes/tagRouter.js", "JavaScript", 0, 0, 21, 0, 1, 22
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/backend/index.ts", "TypeScript", 0, 4, 0, 0, 4, 8
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/backend/models/tagModel.ts", "TypeScript", 0, 10, 0, 0, 2, 12
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/backend/models/tagReaderModel.ts", "TypeScript", 0, 8, 0, 0, 2, 10
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/backend/routes/readerRouter.ts", "TypeScript", 0, 16, 0, 0, 5, 21
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/backend/routes/tagRouter.ts", "TypeScript", 0, 16, 0, 0, 5, 21
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/Button.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 1
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/Tables/Index.tsx", "TypeScript JSX", 4, 0, 0, 1, 0, 5
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/TagFinder/Index.tsx", "TypeScript JSX", 51, 0, 0, 4, 8, 63
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/frontend/conjuring_escaperoom_dashboard/src/components/TagFinder/TagReader.tsx", "TypeScript JSX", 67, 0, 0, 0, 11, 78
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/frontend/conjuring_escaperoom_dashboard/src/pages/Game.tsx", "TypeScript JSX", 13, 0, 0, 1, 3, 17
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/frontend/conjuring_escaperoom_dashboard/src/pages/Relay.tsx", "TypeScript JSX", 3, 0, 0, 0, -1, 2
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/frontend/conjuring_escaperoom_dashboard/src/redux/reducers/forms/playerForm.ts", "TypeScript", 0, 2, 0, 0, 0, 2
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/frontend/conjuring_escaperoom_dashboard/src/redux/reducers/index.ts", "TypeScript", 0, 2, 0, 0, 2, 4
"/Users/mohammadkiyan/Documents/GitHub/ConjuringEscaperoom/src/Dashboard/frontend/conjuring_escaperoom_dashboard/src/redux/reducers/tag.ts", "TypeScript", 0, 82, 0, 4, 8, 94
"Total", "-", 139, 140, 237, 12, 56, 584
